101 -0.25 0.0158096
103 -0.3 0.0186763
105 -0.15 0.0223991
107 -1.71 0.0273555
109 0.81 0.0341568
111 0.65 0.0438447
113 -0.91 0.0583129
115 0.91 0.0813011
117 0.96 0.121049
119 -2.52 0.198718
121 -1.01 0.382638
123 2.01 0.995377
125 4.83 4.85714
127 4.58 4.60517
129 1.26 0.962984
131 1.01 0.374566
133 -1.26 0.195653
135 0.45 0.119582
137 0.15 0.0804902
139 -0.91 0.0578192
141 -0.81 0.0435223
143 -1.41 0.0339349
145 1.36 0.0271963
147 0.5 0.022281
149 -0.45 0.0185864
151 1.61 0.0157395
153 -2.21 0.0134996
155 -1.86 0.0117058
157 1.76 0.010247
159 -0.5 0.00904478

