Exercise A.3 checks:
VtAV=D?: true
VDVt=A?: true
VtV=I? : true
VVt=I? : true
Lowest energy calculated: -0.499817 Hartree, exact is 0.5 Hartree
Corresponding wavefunction (r, psi):
6.34,0.00214837
6.36,0.00207888
6.38,0.00200995
6.4,0.00194157
6.42,0.00187373
6.44,0.0018064
6.46,0.00173957
6.48,0.00167322
6.5,0.00160734
6.52,0.0015419
6.54,0.00147688
6.56,0.00141228
6.58,0.00134807
6.6,0.00128423
6.62,0.00122075
6.64,0.00115761
6.66,0.0010948
6.68,0.00103229
6.7,0.000970069
6.72,0.000908122
6.74,0.00084643
6.76,0.000784975
6.78,0.000723742
6.8,0.000662712
6.82,0.00060187
6.84,0.000541198
6.86,0.000480679
6.88,0.000420296
6.9,0.000360032
6.92,0.00029987
6.94,0.000239794
6.96,0.000179785
6.98,0.000119828
7,5.99057e-05
