0.01 0.0099 0.0099005
0.0387241 0.0372369 0.0372532
0.0646865 0.0605945 0.0606346
0.0896423 0.081891 0.0819562
0.113815 0.101481 0.101571
0.137471 0.1197 0.119814
0.160824 0.136793 0.136932
0.184026 0.152932 0.153094
0.207189 0.168232 0.168417
0.230393 0.182776 0.182983
0.253699 0.196622 0.196851
0.277153 0.209814 0.210065
0.300794 0.222385 0.222657
0.324655 0.234361 0.234653
0.348766 0.245763 0.246075
0.373156 0.256608 0.256939
0.397853 0.266911 0.267262
0.422887 0.276686 0.277056
0.448287 0.285943 0.28633
0.474084 0.294691 0.295096
0.500312 0.302937 0.30336
0.527006 0.310689 0.311128
0.554202 0.31795 0.318406
0.581942 0.324725 0.325196
0.610267 0.331014 0.331501
0.639225 0.336818 0.33732
0.668863 0.342136 0.342652
0.699235 0.346965 0.347496
0.730397 0.351301 0.351845
0.762411 0.355138 0.355695
0.795341 0.358469 0.359039
0.82926 0.361284 0.361866
0.864245 0.363573 0.364167
0.900378 0.365324 0.365928
0.937752 0.366521 0.367136
0.976468 0.367151 0.367776
1.01664 0.367194 0.367829
1.05838 0.366633 0.367276
1.10184 0.365444 0.366097
1.14716 0.363606 0.364266
1.19452 0.361092 0.36176
1.24412 0.357874 0.358548
1.29618 0.353922 0.354602
1.35098 0.3492 0.349886
1.4088 0.343672 0.344362
1.47002 0.337295 0.337989
1.53506 0.330021 0.330718
1.60443 0.321797 0.322497
1.67878 0.312562 0.313263
1.75887 0.302245 0.302946
1.8457 0.290764 0.291464
1.9405 0.27802 0.278718
2.04492 0.263899 0.264594
2.16108 0.248269 0.248958
2.29183 0.230981 0.231661
2.4408 0.211904 0.212572
2.61214 0.191023 0.191671
2.80883 0.168688 0.169303
3.02919 0.145912 0.146476
3.26605 0.12413 0.124622
3.51158 0.104407 0.104819
3.76147 0.0871171 0.0874526
4.01511 0.0721668 0.0724366
4.27431 0.0592862 0.0595054
4.54223 0.0481872 0.0483731
4.82284 0.0386223 0.0387944
5.1209 0.0303936 0.0305752
5.44208 0.0233455 0.0235667
5.7935 0.0173514 0.0176545
6.18438 0.0122978 0.0127484
6.62724 0.008064 0.00877322
7.13988 0.00448445 0.00566084
7.7486 0.00126077 0.00334232
8 -3.05032e-14 0.0026837
